證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"0050","元大台灣50","7,556,661","622,421,135","82.90","82.90","82.00","82.55"," 0.00","4,044"
"0051","元大中型100","12,200","396,196","32.42","32.53","32.37","32.53","+0.36","9"
"0052","富邦科技","150,933","9,503,370","63.75","63.75","62.20","63.10","-0.65","45"
"0053","元大電子","30,000","1,136,150","37.97","38.00","37.69","38.00"," 0.00","18"
"0054","元大台商50","9,000","197,860","21.90","22.00","21.90","22.00","+0.30","4"
"0055","元大MSCI金融","109,050","1,801,427","16.50","16.62","16.48","16.56","+0.18","32"
"0056","元大高股息","17,832,362","479,504,766","26.90","26.99","26.75","26.91","+0.12","7,045"
"0057","富邦摩台","25,000","1,352,000","54.00","54.10","54.00","54.00"," 0.00","7"
"0061","元大寶滬深","395,467","6,771,890","17.20","17.24","16.99","17.15","-0.04","189"
"006203","元大MSCI台灣","4,000","154,320","38.61","38.61","38.55","38.58","-0.05","4"
"006204","永豐臺灣加權","2,000","105,000","52.40","52.60","52.40","52.60","-0.05","2"
"006205","富邦上証","1,760,409","50,566,008","28.75","28.80","28.27","28.76","+0.01","212"
"006206","元大上證50","272,300","8,188,846","30.20","30.26","29.79","30.23","+0.06","72"
"006207","FH滬深","903,120","20,080,024","22.24","22.45","21.95","22.36","+0.04","118"
"006208","富邦台50","869,510","40,985,087","47.45","47.51","46.97","47.23","-0.08","388"
"00625K","富邦上証+R","70,000","477,870","6.79","6.85","6.75","6.85","+0.03","12"
"00631L","元大台灣50正2","10,083,624","418,311,922","41.80","41.82","41.06","41.82","+0.25","2,808"
"00632R","元大台灣50反1","178,039,494","1,897,940,144","10.60","10.73","10.60","10.62","-0.03","9,589"
"00633L","富邦上証正2","19,712,500","795,983,039","40.33","40.91","39.31","40.83","+0.73","2,897"
"00634R","富邦上証反1","1,798,000","10,541,510","5.87","5.93","5.83","5.85","-0.02","278"
"00635U","元大S&P黃金","1,993,482","48,445,776","24.43","24.43","24.21","24.24","-0.46","811"
